SpT,SpTnum,Teff,L,R,M,Mbol,BCv,Mv,B-V,Bt-Vt,G-V,Bp-Rp,G-Rp,M_G,b-y,U-B,V-Rc,V-Ic,V-Ks,J-H,H-Ks,Ks-W1,W1-W2,W1-W3,W1-W4,M_J,M_Ks,i-z,z-Y
B3V,23.0,17000,912.0,3.48,5.4,-2.64,-1.58,-1.1,-0.178,-0.184,,,,,-0.083,-0.673,-0.080,-0.192,-0.492,-0.098,-0.021,0.036,,,,-0.73,-0.61,,
B4V,24.0,16700,812.8,3.41,5.0,-2.52,-1.53,-1.0,-0.165,-0.170,,,,,-0.078,-0.619,-0.074,-0.176,-0.447,-0.092,-0.016,0.036,,,,-0.66,-0.55,,
B5V,25.0,15700,631.0,3.40,4.6,-2.25,-1.35,-0.9,-0.156,-0.160,,,,,-0.072,-0.581,-0.070,-0.165,-0.417,-0.089,-0.013,0.036,-0.045,-0.117,-0.070,-0.59,-0.48,,
B6V,26.0,14500,346.7,2.95,4.0,-1.66,-1.16,-0.5,-0.140,-0.142,,,,,-0.066,-0.504,-0.062,-0.145,-0.358,-0.081,-0.007,0.035,-0.045,-0.117,-0.070,-0.23,-0.14,,
B7V,27.0,14000,309.0,2.99,3.9,-1.47,-1.07,-0.4,-0.128,-0.129,,,,,-0.062,-0.459,-0.058,-0.133,-0.325,-0.077,-0.004,0.035,-0.045,-0.117,-0.070,-0.16,-0.08,,
B8V,28.0,12500,186.2,2.91,3.4,-0.91,-0.81,-0.2,-0.109,-0.107,,,,,-0.045,-0.364,-0.048,-0.108,-0.254,-0.067,0.003,0.034,-0.046,-0.116,-0.067,-0.01,0.05,,
B9V,29.0,10700,61.66,2.28,2.8,0.28,-0.42,0.7,-0.070,-0.063,0.017,-0.120,-0.036,0.72,-0.029,-0.200,-0.028,-0.061,-0.121,-0.050,0.016,0.032,-0.063,-0.104,-0.054,0.79,0.82,,
B9.5V,29.5,10400,53.70,2.26,2.5,0.44,-0.38,0.8,-0.050,-0.040,0.015,-0.087,-0.016,0.82,-0.021,-0.130,-0.017,-0.035,-0.048,-0.044,0.021,0.031,-0.044,-0.091,-0.043,0.83,0.85,,
A0V,30.0,9700,34.67,2.09,2.3,0.87,-0.24,1.11,0.000,0.013,0.007,-0.037,0.010,1.09,0.000,-0.005,0.001,0.004,0.041,-0.032,0.028,0.030,-0.041,-0.074,-0.022,1.07,1.07,,
A1V,31.0,9200,25.70,2.00,2.15,1.19,-0.15,1.34,0.040,0.056,0.000,0.011,0.036,1.32,0.017,0.033,0.019,0.044,0.101,-0.024,0.031,0.030,-0.036,-0.068,-0.023,1.25,1.24,,
